|投影,projector,\bDLP\b|||projector,消費性|
|數位相框,digital.*frame|||photo,消費性,中小,FPD,光電|
|\bPND\b,\bＰＮＤ\b,TomTom,Garmin|||GPS,消費性,中小,FPD,光電|
|\bIC\b,積體電路,晶片,\bSiP\b,\bDSP\b|IC載板,晶片電阻,晶片電容,晶片電感||IC,半導體|
|封裝,packag,覆晶晶片,flip[-\s]*chip,球柵陣列,\bBGA\b,得可,\bDEK\b,\bSiP\b|||封裝|
|封測|||封裝,test|
|測試,檢測,test,愛德萬,Advantest,安捷倫,Agilent,安立知,Anritsu|||test|
|設備,equipment,清洗系統|||設備|
|應材,應用材料|||設備,公司|
|消費,consumer,零售,百貨,沃爾瑪,Wal[-\s]*mart,7-ELEVEN,家電,雙卡利率,retail|||消費性|
|產業,供應鏈,industry,industries,supply chain|||產業|
|\bIT\b,\bＩＴ\b,information technology,information system,資訊系統,資訊安全,資安,SOA,Single[\s-]Sign[\s-]On,思愛普,\bSAP\b,\bCitrix\b|||IT|
|微處理器,\bCPU\b,\bIntel\b,英特爾,\bAMD\b|||IT,CPU,platform|
|主機板,mother.*board,main board,mainboard|TSE main board,NYSE main board,NASDAQ main board||主機板,PCB,IT|
|PCB,ＰＣＢ,印刷電路板,printed circuit board,軟硬結合板,硬板,基板,單層板,多層板,\bHDI\b,\bCCL\b,glass fabric,水刀|||PCB|
|軟板|||軟板,PCB|
|欣興,Unimicron,楠梓電,敬鵬,燿華,金像電,台光電,環科,健鼎,頂倫,晟鈦,宇環,新復興,祥裕,友銓,先豐,佳總,合正,高技,霖宏,瀚宇博,統盟,華韡,弘捷,競國,翔昇,柏承,科橋,精成科,育富,慶生,聯茂,泰詠,台燿,台表科,南電|高技術||PCB,公司|
|產業機器人,產業用機器人,工業機器人,工業用機器人,robot|||Robot,工廠自動化,mission_PCB|
|莫托曼,\bABB\b,安川電機,史陶比爾,川崎重工|||Robot,工廠自動化,公司,major,mission_PCB|
|泉成貿易,FANUC,盟立,Yaskawa,潤蓬,DAIHEN,鴻海,現代重工|||Robot,工廠自動化,公司,mission_PCB|
|Android,Win[-\s]*CE,Symbian,Linux,Windows Mobile|||platform|
|\bMID\b,Menlow,Moorestown|mid\w||Intel,platform|
|netbook,小筆電,輕省筆電,上網本,低價迷你,UMPC,ＵＭＰＣ,Ultra Mobile PC,Eee PC,小型上網裝置,OLPC|||netbook,NB,PC,IT|
|\bNB\b,ＮＢ,筆記型電腦,筆電,note[\s]*book,筆記型PC,laptop|||NB,PC,IT|
|\bDell\b,戴爾,華碩,\bAsus\b,微星|||NB,PC,IT,公司|
|\bPC\b,\bＰＣ\b,desktop,個人電腦,桌上電腦,桌上型電腦|Ultra Mobile||Desktop,PC,IT|
|伺服器,server|||Server,IT|
|介面,I/O,I／O,HDMI,SATA,PATA,USB,1394,PCI Express,PCIe,DisplayPort,DVI,SCSI|使用者介面,D介面,介面光電||IO|
|零組件,component,機殼|||零組件|
|鍵盤,滑鼠,印表機,keyboard,mouse,printer,\bKVM\b|||週邊|
|雷射,laser,激光|||laser,光電|
|事務機,掃瞄器,scanner|||OA,週邊|
|塑膠,化工,化學,塑化,石化,plastic,chemi,epoxy,\bPP\b,\bPE\b,\bPVC\b,樹脂,塑料,烯,複合.*材|Plastic Logic,PE ratio,塑膠機殼,黑心||塑化|
|杜邦,奇異,\bGE\b,BASF,台塑,南亞,台聚,三芳,亞聚,達新,東陽,台化,中華化,長興,東鹼,榮化,永記,臺鹽,信昌化,勝一,東聯|||塑化,公司|
|材料,material,環保材,聚合物,基板,粉體,quartz,碳素|||材料|
|國民車,汽車,油車,價車,型車,車用,車市,車廠,車展,automotive,car,車訊,車載,通用汽車,General Motors,克萊斯勒,Chrysler|carbon||car|
|電動車,太陽能車,電池車,油電混合.*車|||car,green|
